학교명,학생수,학급명,참여시간,대상,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,,,
세도중,2,2-나,오전,중2,놀이터 - 6실,미래관 - 6실,행복관 - 6실,기초관 - 5실,,,,,,,
세도중,2,2-다,오전,중2,기초관 - 1실,엄마사랑 분식 천국,행복관 - 1실,미래관 - 7실,,,,,,,
세도중,2,2-라,오전,중2,엄마사랑 분식 천국,행복관 - 2실,기초관 - 5실,미래관 - 5실,,,,,,,
세도중,3,2-마,오전,중2,중점관 - 3실,엄마 사랑 분식 천국,온수업관 - 1실,기초관 - 1실,,,,,,,
세도중,2,3-가,오전,중3,온수업관 - 4실,중점관 - 2실,행복관 - 4실,기초관 - 5실,,,,,,,
세도중,2,3-나,오전,중3,중점관 - 3실,엄마사랑 분식 천국,미래관 - 4실,행복관 - 5실,,,,,,,
세도중,2,3-다,오전,중3,엄마사랑 분식 천국,행복관 - 6실,미래관 - 5실,기초관 - 5실,,,,,,,
세도중,2,3-라,오전,중3,미래관 - 6실,온수업관 - 1실,행복관 - 1실,기초관 - 1실,,,,,,,
세도중,2,3-마,오전,중3,엄마사랑 분식 천국,행복관 - 2실,기초관 - 5실,놀이터 - 1실,,,,,,,
세도중,2,3-바,오전,중3,기초관 - 1실,중점관 - 3실,놀이터 - 2실,온수업관 - 5실,,,,,,,
세도중,2,3-사,오전,중3,엄마사랑 분식 천국,중점관 - 2실,행복관 - 4실,미래관 - 3실,,,,,,,
세도중,2,3-아,오전,중3,엄마사랑 분식 천국,중점관 - 3실,놀이터 - 1실,미래관 - 3실,,,,,,,
세도초,4,1팀,오전,초1,놀이터 - 8실,놀이터 - 4실,엄마사랑 분식 천국,기초관 - 4실,,,,,,,
세도초,5,2팀(유치),오전,초2,놀이터 - 8실,놀이터 - 7실,엄마사랑 분식 천국,놀이터 - 4실,,,,,,,
송간초,1,1학년,오전,초1,기초관 - 3실,놀이터 - 8실,기초관 - 6실,놀이터 - 4실,,,,,,,
송간초,3,2학년,오전,초2,기초관 - 3실,놀이터 - 8실,엄마사랑 분식 천국,놀이터 - 7실,,,,,,,
송간초,3,4학년,오전,초4,온수업관 - 3실,행복관 - 4실,미래관 - 1실,놀이터 - 6실,,,,,,,
옥산초,1,3학년1반,오전,초3,엄마사랑 분식 천국,온수업관 - 3실,행복관 - 2실,미래관 - 4실,,,,,,,
옥산초,2,56학년,"오전, 오후",초5,엄마사랑 분식 천국,행복관 - 4실,행복관 - 2실,놀이터 - 3실,,,,,,,
옥산초,2,예원우영,"오전, 오후",초1,행복관 - 1실,엄마사랑 분식 천국,기초관 - 2실,중점관 - 2실,,,,,,,
옥산초,3,4학년,오전,초4,놀이터 - 3실,엄마사랑 분식 천국,기초관 - 1실,온수업관 - 3실,,,,,,,
옥산초,1,윤호팀,오전,초2,놀이터 - 7실,엄마사랑 분식 천국,기초관 - 3실,기초관 - 4실,,,,,,,
옥산초,1,다정반,오전,초1,놀이터 - 3실,기초관 - 6실,엄마사랑 분식 천국,놀이터 - 4실,,,,,,,
외산초,4,x,,초5,행복관 - 4실,온수업관 - 1실,엄마사랑 분식 천국,기초관 - 2실,,,,,,,
외산초,4,x,오전,초6,미래관 - 4실,기초관 - 4실,행복관 - 2실,놀이터 - 8실,,,,,,,
은산중,5,"1반-1, 1반-2",오전,중1,,,엄마사랑 분식 천국,온수업관 - 4실,,,,,,,
은산중,5,1반-2,오전,중1,,,엄마사랑 분식 천국,온수업관 - 4실,,,,,,,
은산초,4,1반-1,오전,초6,온수업관 - 1실,엄마사랑 분식 천국,온수업관 - 5실,놀이터 - 8실,,,,,,,
은산초,4,1반-2,오전,초6,미래관 - 7실,엄마사랑 분식 천국,온수업관 - 5실,미래관 - 3실,,,,,,,
은산초,4,1반-3,오전,초6,미래관 - 7실,놀이터 - 5실,행복관 - 3실,엄마사랑 분식 천국,,,,,,,
은산초,4,은산초 3학년 1팀,오전,초3,행복관 - 1실,엄마사랑 분식 천국,미래관 - 1실,온수업관 - 1실,,,,,,,
은산초,3,유치원,오전,유치원,온수업관 - 2실,엄마사랑 분식 천국,미래관 - 7실,기초관 - 3실,,,,,,,
은산초,4,5학년 1팀,오전,초5,온수업관 - 3실,놀이터 - 5실,엄마사랑 분식 천국,미래관 - 6실,,,,,,,
은산초,4,5학년 2팀,오전,초5,놀이터 - 2실,엄마사랑 분식 천국,엄마사랑 분식 천국,온수업관 - 1실,,,,,,,
은산초,3,5학년 3팀,오전,초5,놀이터 - 1실,온수업관 - 1실,엄마사랑 분식 천국,미래관 - 6실,,,,,,,
은산초,5,1반 -1,오전,초2,놀이터 - 7실,엄마사랑 분식 천국,온수업관 - 2실,놀이터 - 3실,,,,,,,
은산초,5,1반 - 2,오전,초2,놀이터 - 7실,엄마사랑 분식 천국,온수업관 - 2실,놀이터 - 3실,,,,,,,
은산초,4,"은산초 3학년 2팀(최종, 전것 2팀 인원수 오류)",오전,초3,행복관 - 1실,기초관 - 3실,엄마사랑 분식 천국,미래관 - 1실,,,,,,,
은산초 4학년 1팀,4,1반-1,오전,초4,미래관 - 5실,미래관 - 2실,엄마사랑 분식 천국,행복관 - 2실,,,,,,,
